Type of Business,Sub-Category,Name of Business,Website,# of Reviews,Rating,Latest Review Date,Business Address,Phone Number
apartment buildings,Apartment complex,The Village at Ten Trails,villageattentrails.com,60,4.2,4 days ago,"22870 SE Fir St, Black Diamond, WA 98010, United States",+1 360-861-5678
apartment buildings,Apartment complex,Ascend Apartments,ascendmaplevalley.com,53,4.2,a month ago,"26900 242nd Ave SE, Maple Valley, WA 98038, United States",+1 425-470-4150
apartment buildings,Apartment complex,Brookside Village,brooksidevillageapts.com,131,3.6,2 weeks ago,"28700 34th Ave S, Auburn, WA 98001, United States",+1 253-217-4490
apartment buildings,Apartment complex,Four Lakes Apartment Homes,fourlakes.tarragon.com,109,4.1,3 weeks ago,"6821 Udall Pl SE, Auburn, WA 98092, United States",+1 866-206-3032
apartment buildings,Apartment complex,The Verge,thevergeauburn.com,55,3.7,a week ago,"109 S Division St, Auburn, WA 98001, United States",+1 206-962-8891
apartment buildings,Apartment complex,Cove Apartment Homes,washington.weidner.com,416,4.5,3 weeks ago,"33131 1st Ave SW, Federal Way, WA 98023, United States",+1 253-458-2192
apartment buildings,Apartment rental agency,Mallard Pointe at Riverbend,mallardpointeatriverbend.com,133,3.8,2 weeks ago,"802 45th St NE, Auburn, WA 98002, United States",+1 888-705-4979
apartment buildings,Apartment building,Trek Apartment Homes,trekapts.com,33,4.5,a month ago,"2 E Main St, Auburn, WA 98002, United States",+1 253-735-4445
apartment buildings,Apartment complex,Auburn Court Senior Affordable Apartments,auburncourtapartments.com,123,3.7,6 days ago,"102 10th St NE Suite A, Auburn, WA 98002, United States",+1 855-960-4179
apartment buildings,Apartment complex,ReNew Lea Hill,renewleahill.com,104,3.6,5 days ago,"1433 8th St NE, Auburn, WA 98002, United States",+1 888-490-9728
apartment buildings,Apartment complex,Watermark Apartments,watermarkwa.com,105,3.8,a month ago,"31655 Military Rd S, Auburn, WA 98001, United States",+1 425-448-5409
apartment buildings,Apartment complex,Auburn Square Apartments,auburnsquareapartments.com,92,4.0,a month ago,"3740 H St NE, Auburn, WA 98002, United States",+1 253-939-9444
